CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	UNDRLNG_ST	NOTIONAL_V	PREMIUM_TR
OPTSTKPFC25-JAN-2023CE134	16.85	0	0	0		22.75	5.9	0	0	0	156	0	0
OPTSTKCOLPAL29-MAR-2023PE1470	40.3	0	0	0		40.8	0.5	0	0	0	1517.35	0	0
OPTSTKCOFORGE25-JAN-2023PE3950	164.5	136.05	140.25	99.85	103.1	103.1	61.4	31	33000	220	4019.55	134269897.5	3919897.5
OPTSTKRECLTD25-JAN-2023PE134	13.65	0	0	0		11.4	2.25	0	0	0	123	0	0
OPTSTKAPOLLOHOSP29-MAR-2023CE3950	684.45	0	0	0		712.4	27.95	0	0	0	4490.9	0	0
OPTSTKMANAPPURAM25-JAN-2023PE134	15.55	0	0	0		13.3	2.25	0	0	0	122.1	0	0
OPTSTKPFC29-MAR-2023CE134	21	0	0	0		26.2	5.2	0	0	0	156	0	0
OPTSTKBAJAJ-AUTO23-FEB-2023PE3950	380.05	0	0	0		357.8	22.25	0	0	0	3601.8	0	0
OPTSTKCOLPAL25-JAN-2023PE1470	15.5	9.8	10.45	9.05	9.2	9.2	6.3	18	9100	26	1517.35	13463905	86905
OPTSTKPFC23-FEB-2023CE148	9.45	0	0	0		13.55	4.1	0	0	0	156	0	0
OPTSTKASIANPAINT25-JAN-2023CE3950	0.05	0	0	0		0.05	0	1	0	0	3028.25	0	0
OPTSTKADANIENT23-FEB-2023CE3950	247	0	0	0		238.25	8.75	0	0	0	3830.95	0	0
OPTSTKEICHERMOT23-FEB-2023CE3950	17.9	0	0	0		15.65	2.25	0	0	0	3213.45	0	0
OPTSTKPIIND25-JAN-2023PE3950	531.95	0	0	0		529.75	2.2	0	0	0	3413	0	0
OPTSTKLTTS29-MAR-2023CE3950	261.9	0	0	0		251.3	10.6	0	0	0	3707.2	0	0
OPTSTKDRREDDY23-FEB-2023CE3950	382.15	0	0	0		382.45	0.3	0	0	0	4238.35	0	0
OPTSTKAPOLLOHOSP23-FEB-2023CE3950	611.45	0	0	0		640.8	29.35	0	0	0	4490.9	0	0
OPTIDXMIDCPNIFTY24-JAN-2023CE7650	55.45	0	0	0		51.6	3.85	0	0	0	7212.2	0	0
OPTSTKADANIENT29-MAR-2023PE3950	382.8	0	0	0		385.2	2.4	0	0	0	3830.95	0	0
OPTSTKNAVINFLUOR23-FEB-2023CE3950	368.65	0	0	0		309.85	58.8	0	0	0	4034.05	0	0
OPTSTKGMRINFRA25-JAN-2023CE24	16.85	0	0	0		16.9	0.05	0	0	0	40.8	0	0
OPTSTKLTTS25-JAN-2023PE3950	300.1	0	0	0		307.85	7.75	0	0	0	3707.2	0	0
OPTSTKRECLTD23-FEB-2023PE134	14.4	0	0	0		12.5	1.9	0	0	0	123	0	0
OPTSTKNAVINFLUOR29-MAR-2023CE3950	450.85	0	0	0		392.75	58.1	0	0	0	4034.05	0	0
OPTSTKBAJAJ-AUTO25-JAN-2023PE3950	369.45	0	0	0		344.1	25.35	0	0	0	3601.8	0	0
OPTSTKNAUKRI23-FEB-2023PE3950	282.05	0	0	0		276.6	5.45	0	0	0	3916.9	0	0
OPTSTKZYDUSLIFE25-JAN-2023PE465	44.95	0	0	0		40.95	4	0	0	0	424.65	0	0
OPTSTKTCS29-MAR-2023PE3420	232.2	0	0	0		204.4	27.8	0	0	0	3311.35	0	0
OPTSTKSUNTV23-FEB-2023CE465	44.45	0	0	0		42.95	1.5	0	0	0	486.8	0	0
OPTSTKLICHSGFIN29-MAR-2023PE465	54.95	0	0	0		56.5	1.55	0	0	0	421.6	0	0
OPTSTKHINDUNILVR29-MAR-2023CE2480	201.9	0	0	0		189.9	12	0	0	0	2542	0	0
OPTSTKHDFCAMC23-FEB-2023PE2480	298.2	0	0	0		297.95	0.25	0	0	0	2189.65	0	0
OPTSTKHDFCAMC29-MAR-2023CE2480	61.95	0	0	0		60.6	1.35	0	0	0	2189.65	0	0
OPTSTKLICHSGFIN25-JAN-2023PE465	44.05	0	0	0		46.05	2	0	0	0	421.6	0	0
OPTSTKDIVISLAB29-MAR-2023PE3420	225.3	0	0	0		214.65	10.65	0	0	0	3393	0	0
OPTSTKHDFCAMC25-JAN-2023PE2480	287.4	0	0	0		287.45	0.05	0	0	0	2189.65	0	0
